Category: Programming

Month,Python: (United States),SQL: (United States),Tableau: (United States),R: (United States),Power BI: (United States)
2019-10,81,25,2,8,1
2019-11,75,22,2,7,1
2019-12,57,19,1,6,1
2020-01,66,22,2,7,1
2020-02,83,24,2,8,1
2020-03,70,21,2,7,1
2020-04,77,21,2,7,1
2020-05,69,19,2,6,1
2020-06,72,21,2,6,1
2020-07,76,21,2,7,1
2020-08,63,19,1,6,1
2020-09,71,20,2,6,1
2020-10,62,18,1,6,1
2020-11,50,15,1,5,1
2020-12,44,14,1,4,1
2021-01,46,15,1,4,1
2021-02,56,17,1,5,1
2021-03,56,17,1,5,1
2021-04,53,17,1,5,1
2021-05,46,16,1,5,1
2021-06,48,17,1,5,2
2021-07,49,16,1,4,2
2021-08,48,16,1,5,2
2021-09,63,17,1,6,2
2021-10,62,17,1,6,1
2021-11,56,16,1,6,1
2021-12,49,14,1,5,1
2022-01,71,19,1,6,2
2022-02,94,22,2,8,2
2022-03,92,21,2,8,2
2022-04,100,21,2,8,2
2022-05,79,20,1,6,2
2022-06,77,21,2,6,2
2022-07,76,19,1,6,2
2022-08,80,21,2,6,2
2022-09,91,19,2,7,2
2022-10,91,19,2,7,2
2022-11,86,19,1,7,2
2022-12,69,16,1,6,1
2023-01,80,19,1,6,2
2023-02,94,21,2,8,2
2023-03,84,21,2,7,2
2023-04,81,19,1,6,2
2023-05,71,19,1,6,2
2023-06,70,18,1,6,2
2023-07,70,18,1,5,2
2023-08,72,19,1,6,2
2023-09,81,18,1,7,2
2023-10,83,18,1,6,2
2023-11,72,16,1,6,2
2023-12,59,14,1,5,2
2024-01,73,17,1,6,2
2024-02,89,19,1,7,2
2024-03,76,18,1,6,2
2024-04,77,18,1,6,2
2024-05,67,17,1,5,2
2024-06,68,16,1,5,2
2024-07,65,16,1,5,2
2024-08,63,16,1,5,2
2024-09,72,14,1,6,2
2024-10,70,16,1,6,2
2024-11,59,13,1,5,2
2024-12,54,11,1,4,2
2025-01,61,14,1,5,2
2025-02,71,15,1,6,2
2025-03,64,14,1,5,2
2025-04,60,14,1,5,2
2025-05,53,12,1,4,2
2025-06,55,11,1,4,2
2025-07,51,11,1,4,2
2025-08,49,11,1,4,2
2025-09,57,11,1,5,2
2025-10,57,12,1,5,1
